code,BUF,MIA,NE,NY,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LA,DAL,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,SEA,SF,LON,TOT,MEX,FRA
JAX,1408.7564420057543,296.2889063301764,2068.0188365611302,1351.57971993507,1095.962553068238,1011.1159398530001,159.0497778118679,1136.5563255532322,1329.033482193374,1128.03573109207,0.0,807.166455770003,2365.44959818332,1522.6381645590945,3173.7104144033847,3465.039759810997,1489.073810057157,1216.8581698202597,1050.122536871986,1391.6249148337295,11797.251876924967,1675.7051642970403,1921.3713222955837,462.54750593326526,550.3640162884191,814.3767130667077,274.8314876373651,2905.546397764567,3951.5919375608028,3781.1927350054752,6853.295259015316,6866.486082386774,2149.114032861842,7501.757711335432
TEN,1005.1354019351779,1101.6447946763,1767.1022655023346,1219.706640834468,957.694973347853,381.9685878613105,764.157591936508,758.4473428383195,1081.529076990431,403.36811178119996,807.166455770003,0.0,1646.6801440866407,751.3913669772534,2545.0683131585547,2874.0474621217986,1019.0613986956995,1098.320821861392,925.7410639648767,638.1993860272344,11236.873945783065,933.9967151409336,1122.375294162616,344.909399869901,545.7178902298585,757.6054951908835,996.767209936415,2340.5816247383095,3174.6841033922306,3122.5726779810975,6731.091460493457,6742.860966773907,2234.0768687821046,7369.193021829254
DEN,2211.648534397845,2626.5410368017997,2824.237466091944,2616.935112416649,2428.762696764095,1760.6347070710895,2373.8710016655164,2123.240966013711,1421.724635952351,1610.3244281033385,2365.44959818332,1646.6801440866407,0.0,908.869990625857,980.2350336298374,1348.3856725570329,1054.0946860427741,2540.1918788932276,2415.867220154611,1482.3747295288372,10863.904571007366,1493.6145328757802,1127.4278997837655,1950.4216123416186,2185.925425269664,1742.0706113288525,2448.4432262908176,947.1353850624974,1640.0561708696475,1495.9084886069097,7538.319594095172,7547.037859670183,2343.9859996112755,8127.792706357638
KC,1381.594132519011,1804.8183253537884,2078.8810034021985,1749.0919550619053,1539.0950627784548,860.9865303728955,1505.1678429467656,1246.4960112631634,1046.1321407794433,719.4262803951694,1522.6381645590945,751.3913669772534,908.869990625857,0.0,1851.695623627279,2201.6647650834343,739.365009211438,1659.2937837695504,1522.1840470960826,660.168783517443,10973.570848829642,807.2923786104577,667.1750910441891,1077.5931275524144,1281.0364855142327,1090.0784019119988,1657.309495570379,1706.5029767921808,2430.861430035363,2401.5188040758067,6983.818423719537,6994.133176855951,2243.971655405234,7602.344557565663
LV,3190.236579463351,3399.966909372617,3799.3270434378337,3588.9428879460197,3389.739057348499,2712.6750864572864,3213.4017088492046,3090.758000929384,1976.8521942244108,2568.994708355306,3173.7104144033847,2545.0683131585547,980.2350336298374,1851.695623627279,0.0,373.2646631492447,1700.5089785111695,3506.6260174203007,3373.685225367338,2458.773966407277,11111.947953566721,2471.561048654413,2092.671524839584,2809.93849594727,3090.712633499201,2432.6658772759965,3196.986122629452,390.67997122190303,1409.702964146956,622.546625378004,8408.11509311716,8415.806086219478,2440.2640848533647,8974.892349814823
LA,3553.55362979704,3676.482859462313,4170.709978955504,3946.236263094972,3740.6413249757434,3061.0998507395525,3515.556659101069,3445.896937555554,2215.487435369967,2920.9228109485834,3465.039759810997,2874.0474621217986,1348.3856725570329,2201.6647650834343,373.2646631492447,0.0,1977.5084779419503,3860.420292952456,3722.9505233607592,2820.730308310312,11268.719037618857,2841.59438014351,2465.257954740188,3122.962561704243,3418.0793498361036,2697.0657127403992,3467.0665002111114,564.0723549255671,1554.8766691708288,505.12770171375917,8767.639982767441,8775.10289091827,2503.0830562313686,9328.806096546487
DAL,1952.1593532489014,1701.395073419961,2700.682994868465,2230.267423563393,1974.6252312966633,1333.1294840599862,1549.0897003928894,1745.167140634483,376.7695696222976,1250.9374476390785,1489.073810057157,1019.0613986956995,1054.0946860427741,739.365009211438,1700.5089785111695,1977.5084779419503,0.0,2113.621183027213,1943.9942501376725,1314.0700051639128,11678.327619331762,1523.1918082930424,1400.138604397059,1185.157416186565,1521.662672279699,734.6225991493686,1496.5355605100838,1416.6693871356185,2688.964100823978,2318.325592222124,7657.566786768715,7668.505491774272,1511.339541626003,8285.099094033478
PHI,440.27817013759875,1408.7954055420541,860.0015725457644,137.11247453779546,143.14997514373562,807.7122566346113,1059.0702707966836,416.9880367602961,2164.2045058415765,939.9126330140626,1216.8581698202597,1098.320821861392,2540.1918788932276,1659.2937837695504,3506.6260174203007,3860.420292952456,2113.621183027213,0.0,183.21043166980263,1069.4300981215383,10622.217927039237,1178.2130531622167,1585.7813023292886,1068.9745267520943,722.4129512177458,1750.8482551845648,1488.8945933044972,3360.7336243679083,3826.3110123224615,4031.7056841790445,5697.997416944606,5710.504807839405,3242.339703622329,6342.8930932890125
WAS,459.6734316317871,1258.2820259498951,1018.0190837651728,318.78302684348944,45.84757797142509,661.8699424578413,894.2672080577344,319.78863081380683,1984.7048074164295,805.9505046774606,1050.122536871986,925.7410639648767,2415.867220154611,1522.1840470960826,3373.685225367338,3722.9505233607592,1943.9942501376725,183.21043166980263,0.0,968.2638256607818,10767.483988504204,1117.6195173174506,1512.1299376019458,885.7689485419218,541.457925809593,1567.7470627032187,1324.0652348710562,3214.521206986143,3753.152118359248,3911.037094976471,5880.943915957881,5893.431461359496,3059.193512931348,6525.679932868258
CHI,733.5620785242007,1686.3111253260502,1419.6639807695014,1136.8231463031123,972.327753880999,404.7479937626895,1306.482174969065,655.9326000418225,1525.826623366136,264.18629804506133,1391.6249148337295,638.1993860272344,1482.3747295288372,660.168783517443,2458.773966407277,2820.730308310312,1314.0700051639128,1069.4300981215383,968.2638256607818,0.0,10617.185001186399,295.7973549264755,572.4678642257225,945.5974662711836,944.3645870952422,1344.4070789373968,1614.1275983302733,2350.5216618558106,2793.599077508896,2966.360218561091,6348.354117173279,6359.061109547318,2737.8981121414545,6973.12409817526
