code,BUF,MIA,NE,NY,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LA,DAL,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,SEA,SF,LON,TOT,MEX,FRA
JAX,0.07030599835337513,0.014786720216103628,0.10320742790074262,0.06745251253574897,0.05469557345318718,0.05046118227588273,0.007937605879569203,0.056721463533536236,0.06632731040266371,0.05629623112125115,0.0,0.04028279255246428,0.11805113403285442,0.0759894280503603,0.1583885422035376,0.17292774846218326,0.07431435109455556,0.060729041538129,0.052407862102157754,0.06945102506968082,0.5887586713374906,0.0836284548619858,0.0958887746622874,0.023084092622995146,0.02746670075051374,0.040642630720734006,0.013715857149712544,0.14500543469816926,0.19720982844969695,0.18870581335024206,0.34202346894649116,0.34268177578973297,0.10725459926946188,0.3743859119818057
TEN,0.05016271500612242,0.05497915382040175,0.08818975747984202,0.060871198544452554,0.04779513279340501,0.019062686855212,0.03813637389577083,0.037851395774838155,0.053975250255292866,0.020130660600434183,0.04028279255246428,0.0,0.08217991985460465,0.03749925724153479,0.12701526204159974,0.1434334354146874,0.050857711725300035,0.05481326621890915,0.046200427396874695,0.031850250082457114,0.560792211891856,0.04661243743685258,0.056013738947604044,0.017213195252396805,0.02723482920673031,0.037809382167979216,0.049745088455965814,0.11681006236997178,0.15843713554047315,0.15583644057298054,0.3359247141855749,0.3365120881733703,0.11149479070653048,0.3677700821873614
DEN,0.11037547270856371,0.1310812744504953,0.14094759656104525,0.13060187710126758,0.12121086446732851,0.08786698475713485,0.11847141617794217,0.10596336698758382,0.07095319455782163,0.08036553602511982,0.11805113403285442,0.08217991985460465,0.0,0.04535845243298101,0.0489200266315577,0.06729310904838592,0.052606097868635016,0.12677189663846425,0.12056729732524572,0.07398002393157016,0.5421786435936302,0.07454096233940263,0.05626589643337569,0.09733857079683686,0.10909172428045735,0.08694051709688597,0.12219304934701523,0.04726814148783518,0.0818493410290529,0.07465544547008907,0.37621058485814957,0.37664568232914203,0.11697996255078107,0.40562908079139803
KC,0.0689504245798633,0.09007203120917222,0.1037495198204466,0.08729092726447438,0.07681073301452052,0.04296876009346952,0.0751175467471873,0.06220816026266567,0.05220871569704021,0.03590399403095044,0.0759894280503603,0.03749925724153479,0.04535845243298101,0.0,0.09241150960086233,0.10987721846954132,0.03689906471423271,0.08280942152312167,0.07596676467104592,0.03294666418053365,0.5476516955123963,0.04028907691131417,0.03329632394481293,0.053778821088080575,0.06393195186596295,0.05440191650215839,0.08271039279203389,0.08516546359536772,0.12131560474287525,0.1198512191678506,0.34853741353559764,0.3490521859940587,0.11198860413750387,0.3794058419246744
LV,0.15921330402811484,0.16968019510281307,0.18961083186215016,0.1791113106897577,0.16916975956823452,0.13537991697852958,0.1603693928309023,0.15424868376441092,0.09865762666123074,0.12820934289982813,0.1583885422035376,0.12701526204159974,0.0489200266315577,0.09241150960086233,0.0,0.01862830508542706,0.08486632456699536,0.17500316992740117,0.1683685701992433,0.12270861965850414,0.5545576021742593,0.12334677722542298,0.1044377554505095,0.14023398607347573,0.15424641963813854,0.1214056582545725,0.15955014960097078,0.01949744085948362,0.07035323589005395,0.031069076749993964,0.4196189690888164,0.4200027990627313,0.12178485763460335,0.44790479599824445
LA,0.17734515931613423,0.18348011775233003,0.20814522664781054,0.19694254588122131,0.18668203742860853,0.15276855150290966,0.1754488663306834,0.1719723986303458,0.11056705853374757,0.14577281651646082,0.17292774846218326,0.1434334354146874,0.06729310904838592,0.10987721846954132,0.01862830508542706,0.0,0.09869037943565566,0.192659777564689,0.1857991527566193,0.14077256685266684,0.5623814865935799,0.1418138180982413,0.123032212338874,0.15585589827594476,0.17058412226256287,0.13460090893277102,0.1730288958308727,0.028150834930783138,0.07759833657745871,0.025209117989457724,0.4375615711923863,0.43793401826167283,0.12491992794666842,0.4655673660160442
DAL,0.09742529523388155,0.0849105463965046,0.13478143455363517,0.11130467491270832,0.09854648690189212,0.06653172721447217,0.07730952965154782,0.08709505380583821,0.018803222439041676,0.062429816476061314,0.07431435109455556,0.050857711725300035,0.052606097868635016,0.03689906471423271,0.08486632456699536,0.09869037943565566,0.0,0.10548327800510109,0.09701780412415084,0.06558053675178604,0.5828235867414479,0.0760170584300957,0.06987591288319696,0.059146970240128,0.07594074471763938,0.03666238798000592,0.07468674038727804,0.07070090515960667,0.13419658644162086,0.11569934334233933,0.38216178598970507,0.3827076976556093,0.07542555416723658,0.4134796803011093
PHI,0.021972709676236993,0.07030794288419484,0.04291960436909616,0.006842793489097714,0.007144103563006145,0.04031003152262564,0.052854411518237485,0.02081038237106905,0.10800771083426458,0.04690767975116969,0.060729041538129,0.05481326621890915,0.12677189663846425,0.08280942152312167,0.17500316992740117,0.192659777564689,0.10548327800510109,0.0,0.00914337775020849,0.053371433468323806,0.5301169271136238,0.05880040190453983,0.07914067634831135,0.05334869752973646,0.036053048095707835,0.0873785779256177,0.07430540702704914,0.16772220208947763,0.1909575052936974,0.20120801917300285,0.2843666833160128,0.28499088248730653,0.1618135847097856,0.31655112131199065
WAS,0.022940657848124123,0.06279635812600849,0.05080569351292191,0.015909321364615817,0.0022880887321983824,0.03303156294237511,0.04462967975334919,0.015959507464194975,0.09904952251610379,0.0402221087799107,0.052407862102157754,0.046200427396874695,0.12056729732524572,0.07596676467104592,0.1683685701992433,0.1857991527566193,0.09701780412415084,0.00914337775020849,0.0,0.04832258643347632,0.5373666369808711,0.05577639512501313,0.07546500000508775,0.044205561998349185,0.027022229609960976,0.0782406519128244,0.06607936293804398,0.16042526298121737,0.18730640640595125,0.1951858812215332,0.2934968891307738,0.2941200978844415,0.15267341299719764,0.3256733590951096
CHI,0.03660946118648538,0.08415776046542983,0.0708503546235559,0.05673477960339924,0.048525402564241996,0.02019952557767633,0.06520185526982233,0.03273525140570543,0.07614855263212157,0.013184593788898882,0.06945102506968082,0.031850250082457114,0.07398002393157016,0.03294666418053365,0.12270861965850414,0.14077256685266684,0.06558053675178604,0.053371433468323806,0.04832258643347632,0.0,0.5298657517747423,0.014762188642618867,0.02856982478980524,0.04719138945832482,0.047129860865639035,0.06709455166250265,0.08055533865653267,0.11730613409136921,0.13941854410524746,0.14804043511221915,0.3168236614933639,0.31735800921009694,0.1366387080295174,0.34800369797505976
